Time (ms),ENC_POS_BHG2_Z_t=4680,DAC_BHG2_Z_t=4680,ENC_POS_BHG2_BF_VCM_t=4680,BHG2_ADC_PORT_BF_CAL_t=4680,GMP_OCA_PORT_20_t=4680,GMP_OCA_PORT_27_t=4680,GMP_OCA_PORT_28_t=4680
253.0,-5561.0,-423,964.9000000000001,1487.7,3,-423.072998,-423.04364
253.125,-5561.0,-423,964.9000000000001,1489.5,3,-423.077454,-423.040039
253.25,-5561.0,-423,965.0,1485.3,3,-423.081726,-423.036224
253.375,-5561.0,-423,965.0,1480.8,3,-423.085724,-423.032288
253.5,-5561.0,-423,965.0,1487.7,3,-423.089172,-423.028534
253.625,-5561.0,-423,965.0,1490.7,3,-423.092072,-423.02478
253.75,-5561.0,-423,965.0,1487.1,3,-423.094604,-423.02121
253.875,-5561.0,-423,965.0,1481.3999999999999,3,-423.09671,-423.017883
254.0,-5561.0,-423,965.0,1486.5,3,-423.098419,-423.014801
254.125,-5561.0,-423,965.0,1492.2,3,-423.099487,-423.012207
254.25,-5561.0,-423,965.0,1485.6,3,-423.099792,-423.010193
254.375,-5561.0,-423,965.0,1485.0,3,-423.099304,-423.008759
254.5,-5561.0,-423,965.0,1481.3999999999999,3,-423.097992,-423.007904
254.625,-5561.0,-423,964.9000000000001,1483.5,3,-423.095825,-423.00769
254.75,-5561.0,-422,964.9000000000001,1488.0,3,-423.092773,-423.008148
254.875,-5561.0,-422,964.9000000000001,1482.0,3,-423.089203,-423.009094
255.0,-5561.0,-422,964.9000000000001,1478.1,3,-423.085205,-423.010498
255.125,-5561.0,-422,964.8000000000001,1480.8,3,-423.08078,-423.012573
255.25,-5561.0,-422,964.8000000000001,1485.0,3,-423.075897,-423.015198
255.375,-5561.0,-422,964.8000000000001,1480.8,3,-423.070923,-423.018158
255.5,-5561.0,-422,964.8000000000001,1475.7,3,-423.06601,-423.021484
255.625,-5561.0,-422,964.7,1479.3,3,-423.061035,-423.025177
255.75,-5561.0,-422,964.7,1479.0,3,-423.056244,-423.029053
255.875,-5561.0,-422,964.7,1479.3,3,-423.051819,-423.033203
